iter	Passed	Remaining
173	863	4101
174	865	4082
175	868	4065
176	870	4046
177	881	4071
178	883	4052
179	885	4033
180	897	4058
181	899	4040
182	901	4023
183	910	4038
184	912	4021
185	916	4010
186	939	4085
187	944	4081
188	947	4063
189	949	4049
190	961	4070
191	963	4055
192	972	4064
193	977	4060
194	979	4042
195	981	4026
196	984	4014
197	1000	4054
198	1004	4041
199	1006	4024
200	1013	4027
201	1016	4015
202	1019	4002
203	1053	4110
204	1057	4099
205	1059	4082
206	1063	4075
207	1067	4063
208	1069	4046
209	1081	4068
210	1083	4052
211	1095	4070
212	1098	4059
213	1100	4042
214	1106	4040
215	1109	4026
216	1111	4010
217	1113	3995
218	1120	3997
219	1123	3981
220	1125	3967
221	1129	3958
222	1131	3942
223	1137	3939
224	1138	3922
225	1140	3905
226	1142	3888
227	1143	3871
228	1145	3855
229	1146	3838
230	1150	3829
231	1152	3815
232	1154	3802
233	1156	3787
234	1158	3772
235	1161	3759
236	1163	3747
237	1165	3733
238	1167	3718
239	1170	3707
240	1173	3694
241	1175	3680
242	1176	3666
243	1182	3662
244	1184	3648
245	1186	3635
246	1188	3622
247	1190	3609
248	1191	3594
249	1196	3590
250	1200	3582
251	1202	3569
252	1204	3556
253	1207	3546
254	1212	3541
255	1213	3526
256	1216	3518
257	1218	3505
258	1220	3492
259	1222	3479
260	1227	3476
261	1229	3462
262	1231	3449
263	1232	3436
264	1234	3423
265	1236	3410
266	1238	3398
267	1242	3394
268	1244	3382
269	1246	3369
270	1248	3357
271	1250	3345
272	1251	3333
273	1253	3320
274	1256	3313
275	1258	3301
276	1260	3290
277	1262	3278
278	1263	3265
279	1265	3254
280	1266	3241
281	1268	3229
282	1271	3221
283	1273	3209
284	1274	3198
285	1276	3186
286	1277	3174
287	1280	3164
288	1281	3152
289	1282	3141
290	1286	3133
291	1287	3121
292	1289	3110
293	1290	3099
294	1292	3089
295	1294	3078
296	1295	3067
297	1297	3056
298	1300	3048
299	1301	3036
300	1303	3026
301	1304	3015
302	1306	3004
303	1307	2993
304	1309	2983
305	1310	2972
306	1312	2963
307	1314	2954
308	1316	2943
309	1317	2933
310	1319	2924
311	1321	2915
312	1323	2905
313	1325	2894
314	1327	2886
315	1329	2876
316	1330	2866
317	1332	2858
318	1334	2848
319	1336	2840
320	1338	2830
321	1339	2820
322	1341	2812
323	1343	2803
324	1345	2793
325	1347	2785
326	1348	2776
327	1350	2766
328	1351	2757
329	1353	2747
330	1354	2738
331	1356	2729
332	1359	2723
333	1361	2715
334	1363	2706
335	1364	2697
336	1366	2688
337	1368	2680
338	1371	2674
339	1374	2667
340	1375	2658
341	1377	2649
342	1378	2640
343	1380	2632
344	1382	2623
345	1383	2615
346	1387	2611
347	1389	2602
348	1390	2594
349	1392	2585
350	1393	2576
351	1394	2567
352	1396	2559
353	1397	2550
354	1399	2541
355	1401	2535
356	1403	2527
357	1404	2519
358	1406	2510
359	1407	2502
360	1409	2495
361	1411	2487
362	1413	2481
363	1415	2473
364	1416	2464
365	1418	2456
366	1419	2448
367	1420	2440
368	1422	2431
369	1423	2423
370	1425	2416
371	1430	2414
372	1433	2409
373	1434	2401
374	1436	2394
375	1438	2386
376	1440	2379
377	1446	2379
378	1447	2371
379	1449	2365
380	1451	2358
381	1452	2350
382	1454	2342
383	1456	2335
384	1460	2332
385	1461	2325
386	1463	2317
387	1464	2310
388	1466	2302
389	1467	2295
390	1468	2287
391	1470	2280
392	1471	2273
393	1474	2267
394	1476	2260
395	1477	2253
396	1478	2246
397	1480	2239
398	1481	2232
399	1483	2225
400	1484	2218
401	1486	2210
402	1487	2204
403	1489	2197
404	1491	2190
405	1492	2183
406	1493	2176
407	1494	2169
408	1496	2161
409	1497	2155
410	1499	2148
411	1500	2141
412	1501	2134
413	1504	2130
414	1506	2123
415	1507	2116
416	1509	2109
417	1510	2102
418	1511	2096
419	1513	2089
420	1514	2082
421	1515	2076
422	1517	2069
